code	text
1.1	kfvApAjimisvadisADyaSUBya uR
1.2	CandasIRaH
1.3	dFsanijanicaricawiByo YuR
1.4	kiYjarayoH SriRaH
1.5	tro raSca laH
1.6	kfke vacaH kaSca
1.7	BfmfSItFcaritsaritaniDanimimasjiBya uH
1.8	aRaSca
1.9	DAnye nit
1.10	SFsvfsnihitrapyasivasihaniklidibanDimaniByaSca
1.11	syandeH saMprasAraRaM DaSca
1.12	undericcAdeH
1.13	IzeH kicca
1.14	skandeH salopaSca
1.15	sfjerasum ca
1.16	kfterAdyantaviparyayaSca
1.17	nAvaYceH
1.18	PalipAwinamimanijanAM gukpawinAkiDataSca
1.19	valergukca
1.20	SaH kitsanvacca
1.21	yo dve ca
1.22	kurBraSca
1.23	pFBidivyaDigfDiDfziByaH
1.24	kfgrorucca
1.25	apaduHsuzu sTaH
1.26	rapericcopaDAyAH
1.27	arjidfSikamyamipaSibADAmfjipasitukDukdIrGahakArASca
1.28	praTimradiBrasjAM saMprasAraRaM salopaSca
1.29	laNGibaMhyornalopaSca
1.30	UrRoternulopaSca
1.31	mahati hrasvaSca
1.32	SlizeH kaSca
1.33	ANparayoH KaniSFByAM qicca
1.34	harimitayordruvaH
1.35	Sate ca
1.36	Karu SaNku pIyu nIlaNgu ligu
1.37	mfgayvAdayaSca
1.38	mandivASimaTicaticaNkyaNkiBya urac
1.39	vyaTeH saMprasAraRaM kicca
1.40	mukuradardurO
1.41	madgurAdayaSca
1.42	aseruran
1.43	maseSca
1.44	SAvaSerAptO
1.45	avimahyozwizac
1.46	amerdIrGaSca
1.47	ruhervfdDiSca
1.48	taverRidvA
1.49	naYi vyaTeH
1.50	kilerbuk ca
1.51	izimadimudiKidicCidiBidimandicanditimimihimuhimuciruciruDibanDiSuziByaH kirac
1.52	aSerRit
1.53	ajiraSiSiraSiTilasTirasPirasTaviraKadirAH
1.54	salikalyanimahiBaqiBaRqiSaRqipiRqituRqikukiBUBya ilac
1.55	kameH paSca
1.56	gupAdiByaH kit
1.57	miTilAdayaSca
1.58	patikaWikuWigaqiguqidaMSiBya erak
1.59	kumbernalopaSca
1.60	Sadesta ca
1.61	mUlerAdayaH
1.62	kaberotac paSca
1.63	BAterqavatuH
1.64	kaWicakiByAmoran
1.65	kiSorAdayaSca
1.66	kapigaqigaRqikawipawiBya olac
1.67	mInAterUran
1.68	syandeH saMprasAraRaM ca
1.69	sitanigamimasisacyaviDAYkruSiByastun
1.70	paH kicca
1.71	arteSca tuH
1.72	kamimanijanigABAyAhiByaSca
1.73	cAyaH kiH
1.74	ApnoterhrasvaSca
1.75	vasestun
1.76	agAre Ricca
1.77	kfYaH katuH
1.78	eDivahyoScatuH
1.79	jIverAtuH
1.80	Atfkan vfdDiSca
1.81	kfzicamitaniDanisarjiKarjiBya UH
1.82	mfjerguRaSca
1.83	vaho DaSca
1.84	kazeSCaSca
1.85	RitkasipadyarteH
1.86	aRo qaSca
1.87	naYi lambernalopaSca
1.88	ke Sra eraN cAsya
1.89	tro duw ca
1.90	daridrAteryAlopaSca
1.91	nftiSfDyoH kUH
1.92	fteram ca
1.93	andUdfmBUjambUkaPelUkarkanDUdiDizUH
1.94	mfgrorutiH
1.95	gro muw ca
1.96	hfzerulac
1.97	hfsfruhiyuziBya itiH
1.98	tAqerRiluk ca
1.99	SamerQaH
1.100	kameraWaH
1.101	ramervfdDiSca
1.102	SameH KaH
1.103	kaRezWaH
1.104	kalastfpaSca
1.105	SaperbaSca
1.106	vfzAdiByaScit
1.107	mfjezwilopaSca
1.108	cuperaccopaDAyAH
1.109	SakiSamyornit
1.110	Co guk hrasvaSca
1.111	YamantAqqaH
1.112	kvAdiByaH kit
1.113	sTAcatimfjerAlajvAlajAlIyacaH
1.114	paticaRqiByAmAlaY
1.115	tamiviSibiqimfRikulikapipalipaYciByaH kAlan
1.116	pateraNgac pakziRi
1.117	taratyAdiByaSca
1.118	viqAdiByaH kit
1.119	sfvfYorvfdDiSca
1.120	gan gamyadyoH
1.121	CApUKaqiByaH kit
1.122	BfYaH kinnuw ca
1.123	SfRAterhrasvaSca
1.124	gaR SakunO
1.125	mudigrorgaggO
1.126	aRqankfsfBfvfYaH
1.127	SFdFBaso'diH
1.128	dfRAterdfg hrasvaSca
1.129	tyajitaniyajiByo qit
1.130	etestuw ca
1.131	sarterawiH
1.132	laNGernalopaSca
1.133	pArayaterajiH
1.134	praTaH kitsaMprasAraRaM ca
1.135	BiyaH zuk hrasvaSca
1.136	yuzyasiByAM madik
1.137	artistusuhusfDfBikzuBAyAvApadiyakzinIByo man
1.138	jahAteH sanvadAlopaSca
1.139	avatezwilopaSca
1.140	graserA ca
1.141	avisivisiSuziByaH kit
1.142	iziyuDInDidasiSyADUsUByo mak
1.143	yujirucitijAM kuSca
1.144	hanterhi ca
1.145	BiyaH zugvA
1.146	GarmaH
1.147	grIzmaH
1.148	praTeH zivan saMprasAraRaM ca
1.149	aSUpruzilawikaRiKawiviSiByaH kvan
1.150	iRSIByAM van
1.151	sarvanIGfzvarizvalazvaSivapawvaprahvezvA asvatantre
1.152	SevayahvajihvAgrIvApvAmIvAH
1.153	kFgFSFdFByo vaH
1.154	kanin yuvfzitakzirAjiDanvidyupratidivaH
1.155	sapyaSUByAM tuw ca
1.156	naYi jahAteH
1.157	SvannukzanpUzanplIhankledansnehanmUrDanmajjannaryamanviSvapsanparijjanmAtariSvanmaGavanniti
2.1	kfhfByAmeRuH
2.2	hanikuzinarikASiByaH kaTan
2.3	ave BfYaH
2.4	uzikuzigArtiByaH sTan
2.5	sarterRit
2.6	jFvfYByAmUTan
2.7	pAtFtudivaciricisiciByasTak
2.8	arterniri
2.9	niSITagopITAvagaTAH
2.10	gaScodi
2.11	samIRaH
2.12	tiTapfzWagUTayUTaproTAH
2.13	sPAyitaYcivaYciSakikzipikzudisfpitfpidfpivandyundiSvitivftyajinIpadimadimudiKidiCidiBidimandicandidahidasidamBivasivASiSINhasisiDiSuBiByo rak
2.14	cakiramyoruccopaDAyAH
2.15	vO kaseH
2.16	amitamyordIrGaSca
2.17	nindernalopaSca
2.18	arderdIrGaSca
2.19	SucerdaSca
2.20	durIRo lopaSca
2.21	kfteSCaH krU ca
2.22	roderRiluk ca
2.23	bahulamanyatrApi saMjYACandasoH
2.24	jorI ca
2.25	susUDAgfDiByaH kran
2.26	SusicimInAM dIrGaSca
2.27	vA vinDeH
2.28	vfDivapiByAM ran
2.29	fjrendrAgravajraviprakuvracuvrakzuraKuraBadrograBeraBelaSukraSuklagOravamrerAmAlAH
2.30	sami kasa ukan
2.31	pacinaSorRukankanumO ca
2.32	BiyaH krukan
2.33	kvun SilpisaMjYayorapUrvasyApi
2.34	rame raSca lo vA
2.35	jahAterdve ca
2.36	Dmo Dama ca
2.37	hano vaDa ca
2.38	bahulamanyatrApi
2.39	kfzervfdDiScodIcAm
2.40	udakaM ca
2.41	vfScikfzyoH kikan
2.42	prANipaRikazaH
2.43	muzerdIrGaSca
2.44	syameH saMprasAraRaM ca
2.45	kriya ikan
2.46	ANi paRipanipatiKaniByaH
2.47	SyAstyAhfYaviBya inac
2.48	vfjeH kicca
2.49	ajeraja ca
2.50	bahulamanyatrApi
2.51	drudakziByAminan
2.52	arteH kidicca
2.53	vepituhyorhrasvaSca
2.54	talipuliByAM ca
2.55	garverata ucca
2.56	ruheSca
2.57	maherinaR ca
2.58	kvibvacipracCiSrisrudruprujvAM dIrGo'saMprasAraRaM ca
2.59	ApnoterhrasvaSca
2.60	parO vrajeH zaSca padAnte
2.61	huvaH Sluvacca
2.62	sruvaH kaH
2.63	cik ca
2.64	tanoteranaSca vaH
2.65	glAnudiByAM qOH
2.66	cviravyayam
2.67	rAterqEH
2.68	gamerqoH
2.69	BrameSca qUH
2.70	damerqosiH
2.71	paRerijyAdeSca vaH
2.72	vaSeH kit
2.73	BfYa Ucca
2.74	jasisahorurin
2.75	suyuruvfYo yuc
2.76	aSeraSa ca
2.77	undernalopaSca
2.78	gamergaSca
2.79	bahulamanyatrApi
2.80	raYjeH kyun
2.81	BUsUDUBrasjiByaSCandasi
2.82	kFpFvfjimandiniDAYaH kyuH
2.83	DfzerDiz ca saMjYAyAm
2.84	vartamAne pfzadbfhanmahajjagacCatfvacca
2.85	saMScattfpadvehat
2.86	CandasyasAnac SujFByAm
2.87	fYjivfdDimandisahiByaH kit
2.88	arterguRaH Suw ca
2.89	samyAnacstuvaH
2.90	yuDibuDidfSiByaH kicca
2.91	hurCeH sano luk CalopaSca
2.92	SviterdaSca
2.93	tfntfcO SaMsikzadAdiByaH saMjYAyAM cAniwO
2.94	bahulamanyatrApi
2.95	naptfnezwftvazwfhotfpotfBrAtfjAmAtfmAtfpitfduhitf
2.96	suYyaserfn
2.97	yatervfdDiSca
2.98	naYi ca nandeH
2.99	diverfH
2.100	nayaterqicca
2.101	savye sTaSCandasi
2.102	artisfDfDamyaSyavitFByo'niH
2.103	ANi SuzeH sanaSCandasi
2.104	kfzerAdeSca caH
2.105	adermuw ca
2.106	vfteSca
2.107	kzipeH kicca
2.108	arciSucihusfpiCAdiCardiBya isiH
2.109	bfMhernalopaSca
2.110	dyuterisinnAdeSca jaH
2.111	vasO ruceH saMjYAyAm
2.112	BuvaH kit
2.113	saho DaSca
2.114	pibatesTuk
2.115	janerusiH
2.116	manerDaSCandasi
2.117	artipFvapiyajitaniDanitapiByo nit
2.118	eterRicca
2.119	cakzeH Sicca
2.120	muheH kicca
2.121	bahulamanyatrApi
2.122	kFgFSFvfYcatiByaH zvarac
2.123	nO sadeH
3.1	CitvaraCatvaraDIvarapIvaramIvaracIvaratIvaranIvaragahvarakawvarasaMyadvarAH
3.2	iRsiYjidINuzyaviByo nak
3.3	PenamInO
3.4	kfzervarRe
3.5	banDerbraDibuDI ca
3.6	DApFvasyajyatiByo naH
3.7	lakzeraw ca
3.8	vanericcopaDAyAH
3.9	sivezWeryU ca
3.10	kFvFjFsidrupanyanisvapiByo nit
3.11	Dewa icca
3.12	tfziSuzirasiByaH kit
3.13	suYo dIrGaSca
3.14	ramesta ca
3.15	rAsnAsAsnAsTURAvIRAH
3.16	gAdAByAmizRuc
3.17	kftyaSUByAM ksnaH
3.18	tijerdIrGaSca
3.19	SlizeraccopaDAyAH
3.20	yajimaniSunDidasijaniByo yuc
3.21	BujimfNByAm yuktyukO
3.22	sarterayuH
3.23	pAnIviziByaH paH
3.24	cyuvaH kicca
3.25	stuvo dIrGaSca
3.26	suSFByAM nicca
3.27	kuyuByAM ca
3.28	KazpaSilpaSazpabAzparUpaparpatalpAH
3.29	stanihruzipupigadimadiByo Reritnuc
3.30	kfhaniByAM ktnuH
3.31	gameH sanvacca
3.32	dABAByAM nuH
3.33	vacergaSca
3.34	Dewa icca
3.35	suvaH kit
3.36	jahAterdve'ntalopaSca
3.37	sTo RuH
3.38	ajivfrIByo nicca
3.39	vizeH kicca
3.40	kfdADArArcikaliByaH kaH
3.41	sfvfBUSuzimuziByaH kak
3.42	SukavalkolkAH
3.43	iRBIkApASalyatimarciByaH kan
3.44	nO haH
3.45	nO saderqicca
3.46	syamerIw ca
3.47	ajiyuDunIByo dIrGaSca
3.48	hriyo raSca lo vA
3.49	SakerunontontyunayaH
3.50	Buvo Jic
3.51	kanyuckzipeSca
3.52	anuNnadeSca
3.53	kFvfdAriBya unan
3.54	tro raSca lo vA
3.55	kzuDipiSimiTiByaH kit
3.56	Palerguk ca
3.57	aSerlaSaSca
3.58	arjerRiluk ca
3.59	tfRAKyAyAM cit
3.60	arteSca
3.61	ajiyamiSINByaSca
3.62	vFtFvadihanikamikaSiByaH saH
3.63	pluzeraccopaDAyAH
3.64	manerdIrGaSca
3.65	aSerdevane
3.66	snuvraScikftyfziByaH kit
3.67	fzerjAtO
3.68	undiguTikuziByaSca
3.69	gfDipaRyordakO ca
3.70	aSeH saraH
3.71	vaseSca
3.72	sapUrvAccit
3.73	kfDUmaDiByaH kit
3.74	pate raSca laH
3.75	tanyfziByAM ksaran
3.76	pIyukkaRiByAM kAlan hrasvaH saMprasAraRaM ca
3.77	kawikuziByAM kAkuH
3.78	sarterduk ca
3.79	vftervfdDiSca
3.80	pardernitsaMprasAraRamallopaSca
3.81	sfyuvaciByo'nyujAgUjaknucaH
3.82	AnakaH SINBiyaH
3.83	ARako luDuSiGiDAYByaH
3.84	ulmukadarvihominaH
3.85	hriyaH kuk raSca lo vA
3.86	hasimfgriRavA'midamilUpUDurviByastan
3.87	naYyApa iw ca
3.88	tanimfNByAM kicca
3.89	aYjiGfsiByaH ktaH
3.90	dutaniByAM dIrGaSca
3.91	jermuw codAttaH
3.92	lozwapalitO
3.93	hfSyAByAmitan
3.94	ruhe raSca lo vA
3.95	piSeH kicca
3.96	SrudakzispfhigfhiBya AyyaH
3.97	diDizAyyaH
3.98	vfYa eRyaH
3.99	stuvaH kseyyaSCandasi
3.100	rAjeranyaH
3.101	SFramyoSca
3.102	arternicca
3.103	parjanyaH
3.104	vaderAnyaH
3.105	aminakziyajivaDipatiByo'tran
3.106	gaqerAdeSca kaH
3.107	vfYaScit
3.108	suvideH katraH
3.109	kfternum ca
3.110	BfmfdfSiyajiparvipacyamitaminamiharyeByo'tac
3.111	pfziraYjiByAM kit
3.112	KalatiH
3.113	SINSapirugamivaYcijIviprARiByo'TaH
3.114	BfYaScit
3.115	rudividiByAM Nit
3.116	upasarge vaseH
3.117	atyavicamitamiraBilaBinaBitapipatipanipaRimahiByo'sac
3.118	veYastuw ca
3.119	vahiyuByAM Rit
3.120	vayaSca
3.121	divaH kit
3.122	kFSFSalikaligardiByo'Bac
3.123	fzivfziByAM kit
3.124	ruzerniluz ca
3.125	rAsivalliByAM ca
3.126	jFviSiByAM Jac
3.127	ruhinandijIviprARiByaH zidASizi
3.128	tFBUvahivasiBAsisADigaqimaRqijinandiByaSca
3.129	hantermuw hi ca
3.130	BandernalopaSca
3.131	fcCeraraH
3.132	artikamiBramicamidevivAsiByaScit
3.133	kuvaH kraran
3.134	aNgimadimandiBya Aran
3.135	gaqeH kaqa ca
3.136	SfNgAraBfNgArO
3.137	kaYjimfjiByAM cit
3.138	kameH kiduccopaDAyAH
3.139	tuzArAdayaSca
3.140	dINo nuw ca
3.141	sarterapaH zuk ca
3.142	uzikuwidalikaciKajiByaH kapan
3.143	kvaReH saMprasAraRaM ca
3.144	kapaScAkravarmaRasya
3.145	viwapapizwapaviSipolapAH
3.146	vftestikan
3.147	kftiBidilatiByaH kit
3.148	izyaSiByAM takan
3.149	iRastaSantaSasunO
3.150	vIpatiByAM tanan
3.151	dFdaliByAM BaH
3.152	artigFByAM Ban
3.153	iRaH kit
3.154	asisaYjiByAM kTin
3.155	pluzikuziSuziByaH ksiH
3.156	aSernit
3.157	izeH ksuH
3.158	avitFstFtantriByaH IH
3.159	yApoH kiddve ca
3.160	lakzermuw ca
4.1	vAtapramIH
4.2	ftanyaYjivanyaYjyarpimadyatyaNgikuyukfSiByaH katnicyatujalijizWujizWajisansyaniTinulyasAsAnukaH
4.3	SraH karan
4.4	puzaH kit
4.5	kalaSca
4.6	gameriniH
4.7	ANi Rit
4.8	BuvaSca
4.9	pre sTaH
4.10	parame kit
4.11	manTaH
4.12	patasTa ca
4.13	KajerAkaH
4.14	balAkAdayaSca
4.15	pinAkAdayaSca
4.16	kazidUziByAmIkan
4.17	anihfziByAm kicca
4.18	caNkaRaH kaNkaRaSca
4.19	SFpFvfYAM dveruk cAByAsaSca
4.20	parParIkAdayaSca
4.21	IzaH kidDrasvaSca
4.22	fjeSca
4.23	sarternum ca
4.24	mfqaH kIkackaNkaRO
4.25	alIkAdayaSca
4.26	kFtFByAmIzan
4.27	SFpFByAM kicca
4.28	arjerfja ca
4.29	ambarIzaH
4.30	kFSFpFkawipawiSOwiBya Iran
4.31	vaSeH kit
4.32	kaSermuw ca
4.33	kfYa ucca
4.34	GaseH kiSca
4.35	gaBIragamBIrO
4.36	vizA vihA
4.37	paca elimac
4.38	SINo DuklakvalaYvAlanaH
4.39	mFkaRiByAmUkokaRO
4.40	valerUkaH
4.41	ulUkAdayaSca
4.42	SalimanqiByAmUkaR
4.43	niyo miH
4.44	arterUcca
4.45	BuvaH kit
4.46	aSnote raS ca
4.47	dalmiH
4.48	vIjyAjyariByo niH
4.49	sfvfziByAM kit
4.50	aNgernalopaSca
4.51	vahiSriSruyudruglAhAtvariByo nit
4.52	GfRipfSnipArzRicUrRiBUrRi
4.53	vfdfByAM vin
4.54	jFSFstFjAgfByaH kvin
4.55	divo dve dIrGaScAByAsasya
4.56	kfviGfzviCavisTavikikIdivi
4.57	pAterqatiH
4.58	Sakerftin
4.59	ameratiH
4.60	vahivasyartiByaScit
4.61	aYceH ko vA
4.62	hanteraMha ca
4.63	ramernit
4.64	sUNaH kriH
4.65	adiSadiBUSuBiByaH krin
4.66	vaNkryAdayaSca
4.67	rASadiByAM trip
4.68	adestriniSca
4.69	pateratrin
4.70	mfkaRiByAmIciH
4.71	SvayateScit
4.72	veYo qicca
4.73	fhaniByAmUzan
4.74	puraH kuzan
4.75	pFnahikaliBya uzac
4.76	pIyerUzan
4.77	masjernum ca
4.78	gaqeSca
4.79	arteraruH
4.80	kuwaH kicca
4.81	SakAdiByo'wan
4.82	kfkadikaqikawiByo'mbac
4.83	kaderRitpakziRi
4.84	kalikardyoramaH
4.85	kuRipulyoH kindac
4.86	kupervA vaSca
4.87	nO zaYjerGaTin
4.88	udyarteScit
4.89	sarterRicca
4.90	KarjipiYjAdiBya UrolacO
4.91	kuvaScaw dIrGaSca
4.92	samIRaH
4.93	sivezwerU ca
4.94	Samerban
4.95	ulbAdayaSca
4.96	sTaH sto'mbajabakO
4.97	SASapiByAM dadanO
4.98	abdAdayaSca
4.99	valimalitaniByaH kayan
4.100	vfhroH zugdukO ca
4.101	mipIByAM ruH
4.102	jatrvAdayaSca
4.103	ruSAtiByAM krun
4.104	janidAcyusfvfmadizaminamiBfYBya itvantvantnaRkninSaksyaQaqawAwacaH
4.105	anyeByo'pi dfSyante
4.106	kuserumBomedetAH
4.107	sAnasivarRasipaRasitaRqulANkuSacazAlelvalapalvalaDizRyaSalyAH
4.108	mUSakyabiByaH klaH
4.109	mACAsasiByo yaH
4.110	janeryak
4.111	aGnyAdayaSca
4.112	snAmadipadyartipFSakiByo vanip
4.113	SINkruSiruhijikzisfDfByaH kvanip
4.114	DyApyoH saMprasAraRaM ca
4.115	aderDa ca
4.116	pra IraSadostuw ca
4.117	sarvaDAtuBya in
4.118	hfpiziruhivftividiCidikIrtiByaSca
4.119	igupaDAtkit
4.120	BrameH saMprasAraRaM ca
4.121	kramitamiSatistamBAmata icca
4.122	manerucca
4.123	varRerbaliScAhiraRye
4.124	vasivapiyajirAjivrajisadihaninASivASivAriBya iY
4.125	naho BaSca
4.126	kfzervfdDiSCandasi
4.127	SraH SakunO
4.128	kfYa udIcAM kAruzu
4.129	janiGasiByAmiR
4.130	ajyatiByAM ca
4.131	pAde ca
4.132	aSipaRAyyo ruqAyalukO ca
4.133	vAterqicca
4.134	pre harateH kUpe
4.135	nO vyo yalopaH pUrvasya ca dIrGaH
4.136	samAne KyaH sa codAttaH
4.137	ANi SrihaniByAM hrasvaSca
4.138	aca iH
4.139	KanikazyajyasivasivanisaniDvanigranTicariByaSca
4.140	vfteSCandasi
4.141	BujeH kicca
4.142	kFgFSFpFkuwiBidiCidiByaSca
4.143	kuqikampyornalopaSca
4.144	sarvaDAtuByo manin
4.145	bfMhernocca
4.146	aSiSakiByAM Candasi
4.147	hfBfDfsfstfSFBya imanic
4.148	janimfNByAmimanin
4.149	veYaH sarvatra
4.150	nAman sIman vyoman roman loman pApman DyAman
4.151	miTune maniH
4.152	sAtiByAM maninmaniRO
4.153	hanimaSiByAM sikan
4.154	koraran
4.155	gira uqac
4.156	indeH kaminnalopaSca
4.157	kAyaterqimiH
4.158	sarvaDAtuByaH zwran
4.159	BrasjigaminamihaniviSyaSAM vfdDiSca
4.160	diverd yucca
4.161	uziKaniByAM kit
4.162	sivimucyozwerU ca
4.163	amicimidiSasiByaH ktraH
4.164	puvo hrasvaSca
4.165	styAyaterqaw
4.166	guDfvIpacivaciyamisadikzadiByastraH
4.167	huyAmASruBasiByastran
4.168	gamerA ca
4.169	dAdiByacCandasi
4.170	BUvAdigFByo Ritran
4.171	carervftte
4.172	aSitrAdiBya itrotrO
4.173	amerdvizati cit
4.174	AH samiRnikaSiByAm
4.175	citteH kaRaH kaSca
4.176	sUceH sman
4.177	pAterqumsun
4.178	ruciBujiByAM kizyan
4.179	vasestiH
4.180	sAvaseH
4.181	vO taseH
4.182	padipraTiByAM nit
4.183	titutrezvagrahAdInAmitIw dfRAterhrasvaSca
4.184	kFtFkfpiByaH kIwan
4.185	rucivacikucikuwiByaH kitac
4.186	kuwikuziByAM kmalan
4.187	kuzerlaSca
4.188	sarvaDAtuByo'sun
4.189	raperata ecca
4.190	aSerdevane yuw ca
4.191	ubjerbale balopaSca
4.192	SveH samprasAraRaM ca
4.193	SrayateH svANge SiraH kicca
4.194	arterucca
4.195	vyADO Suw
4.196	udake nuw ca
4.197	iRa Agasi
4.198	ricerDane Gicca
4.199	cAyateranne hrasvaSca
4.200	vfNSINByAM rUpasvANgayoH puw ca
4.201	srurIByAM tuw ca
4.202	pAterbale juw ca
4.203	udake Tuw ca
4.204	anne ca
4.205	adernum DO ca
4.206	skandeSca svANge
4.207	ApaH karmAKyAyAm
4.208	rUpe juw ca
4.209	udake numBO ca
4.210	naherdivi BaSca
4.211	iRa Aga aparADe ca
4.212	amerhukca
4.213	rameSca
4.214	deSe ha ca
4.215	aYcyaYjiyujiBfjiByaH kuYca
4.216	BUraYjiByAM kit
4.217	vaserRit
4.218	canderAdeSca CaH
4.219	pacivaciByAM suw ca
4.220	vahihADAYByaSCandasi
4.221	iRa AsiH
4.222	miTune'siH pUrvavacca sarvam
4.223	naYi hana eha ca
4.224	viDAYo veDa ca
4.225	nuvo Duw ca
4.226	gatikArakopapadayoH pUrvapadaprakftisvaratvaM ca
4.227	candre mo qit
4.228	vayasi DAYaH
4.229	payasi ca
4.230	purasi ca
4.231	purUravAH
4.232	cakzerbahulaM Sicca
4.233	uzaH kit
4.234	damerunasiH
4.235	aNgaterasiriruqAgamaSca
4.236	sarterappUrvAdasiH
4.237	vidiBujiByAM viSve
4.238	vaSeH kanasiH
5.1	adi Buvo qutac
5.2	guDerUmaH
5.3	maserUran
5.4	sTaH kicca
5.5	pAteratiH
5.6	vAternit
5.7	arteSca
5.8	tfheH kno halopaSca
5.9	vuYluWitanitAqiBya ulac taRqaSca
5.10	daMsezwawanO na A ca
5.11	daMSeSca
5.12	udi cerqEsiH
5.13	nO dIrGaSca
5.14	sO rameH kto dame pUrvapadasya ca dIrGaH
5.15	pUYo yaR Ruk hrasvaSca
5.16	sraMseH SiH kuw kiSca
5.17	arteH kyurucca
5.18	hiMserIrannIracO
5.19	udi dfRAterajalO pUrvapadAntyalopaSca
5.20	qit Kanermuw sa codAttaH
5.21	ameH san
5.22	muheH Ko mUrca
5.23	naherhalopaSca
5.24	SINo hrasvaSca
5.25	mANa UKo may ca
5.26	kaligaliByAM Pagasyocca
5.27	spfSeH SvaRSunO pf ca
5.28	Smani Srayaterqun
5.29	aSrvAdayaSca
5.30	janezwan lopaSca
5.31	ac tasya jaNGa ca
5.32	hanteH SarIrAvayave dve ca
5.33	kliSeran lo lopaSca
5.34	PaleritajAdeSca paH
5.35	kfYAdiByaH saMjYAyAm vun
5.36	cIkayaterAdyantaviparyayaSca
5.37	pacimacyoriccopaDAyAH
5.38	janerarazWa ca
5.39	vacimaniByAM cicca
5.40	Urji dfRAteralacO pUrvapadAntalopaSca
5.41	kfdarAdayaSca
5.42	hanteryunnAdyantayorGatvatatve
5.43	kramigamikzamiByastun vfdDiSca
5.44	haryateH kanyan hira ca
5.45	kfYaH pAsaH
5.46	janestu raSca
5.47	UrRoterqaH
5.48	daDAteryat nuw ca
5.49	jIryateH krin raSca vaH
5.50	mavyateryalopo maScApatuw cAlaH
5.51	fjeH kIkan
5.52	tanoterqauH sanvacca
5.53	arBakapfTukapAkA vayasi
5.54	avadyAvamADamArvarePAH
5.55	lIrINorhrasvaH puw ca tarO SlezaRakutsanayoH
5.56	kliSerIccopaDAyAH kan lopaSca lo nAm ca
5.57	aSnoterASukarmaRi varaw ca
5.58	cateruran
5.59	prAtateraran
5.60	amestuw ca
5.61	dahergo lopo daSca naH
5.62	siceH saMjYAyAM hanumO kaSca
5.63	vyANi GrAteSca jAtO
5.64	hanterac Gura ca
5.65	kzamerupaDAlopaSca
5.66	taraterqriH
5.67	graheraniH
5.68	praTeramac
5.69	careSca
5.70	maNgeralac
